Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Diet,Experiment,gender,genetic_condition,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,strain,tissue,GEO_Accession (exp)
SRR3440608,Bisulfite-Seq,150,3012963750,PRJNA319643,SAMN04902074,1294302867,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727032,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,GSM2132744,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132744
SRR3440609,Bisulfite-Seq,150,1380254400,PRJNA319643,SAMN04902075,606270601,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727033,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:35:00Z,1,GSM2132745,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132745
SRR3440610,Bisulfite-Seq,150,2259312900,PRJNA319643,SAMN04902075,898077925,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727033,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,GSM2132745,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132745
SRR3440611,Bisulfite-Seq,150,1710210000,PRJNA319643,SAMN04902076,755330407,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727034,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:35:00Z,1,GSM2132746,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132746
SRR3440612,Bisulfite-Seq,150,2054574750,PRJNA319643,SAMN04902077,907474216,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727035,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:43:00Z,1,GSM2132747,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132747
SRR3440613,Bisulfite-Seq,150,1899340650,PRJNA319643,SAMN04902078,844981151,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727036,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,GSM2132748,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132748
SRR3440614,Bisulfite-Seq,150,2655648450,PRJNA319643,SAMN04902078,1062634959,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727036,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:39:00Z,1,GSM2132748,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132748
SRR3440615,Bisulfite-Seq,150,1670487150,PRJNA319643,SAMN04902079,736813627,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727037,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,GSM2132749,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132749
SRR3440616,Bisulfite-Seq,150,2103353550,PRJNA319643,SAMN04902080,928463701,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727038,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,GSM2132750,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132750
SRR3440617,Bisulfite-Seq,150,692146650,PRJNA319643,SAMN04902081,334663686,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727039,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:33:00Z,1,GSM2132751,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132751
SRR3440618,Bisulfite-Seq,150,1632621150,PRJNA319643,SAMN04902081,675252482,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727039,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,GSM2132751,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132751
SRR3440619,Bisulfite-Seq,150,2197684500,PRJNA319643,SAMN04902082,970747722,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727040,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:37:00Z,1,GSM2132752,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132752
SRR3440620,Bisulfite-Seq,150,1651432350,PRJNA319643,SAMN04902083,729249078,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727041,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:35:00Z,1,GSM2132753,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132753
SRR3440621,Bisulfite-Seq,150,2470204050,PRJNA319643,SAMN04902083,990255538,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727041,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,GSM2132753,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132753
SRR3440706,Bisulfite-Seq,150,3941972850,PRJNA319643,SAMN04902273,1725835293,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727108,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,GSM2132820,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132820
SRR3440707,Bisulfite-Seq,150,3268223100,PRJNA319643,SAMN04902274,1437292720,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727109,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132821,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132821
SRR3440708,Bisulfite-Seq,150,3277796250,PRJNA319643,SAMN04902150,1428194670,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727110,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,GSM2132822,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132822
SRR3440709,Bisulfite-Seq,150,3418183500,PRJNA319643,SAMN04902270,1544526609,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727111,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,GSM2132823,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132823
SRR3440710,Bisulfite-Seq,150,2813350050,PRJNA319643,SAMN04902271,1208030830,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727112,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,GSM2132824,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132824
SRR3440711,Bisulfite-Seq,150,3224509800,PRJNA319643,SAMN04902272,1434746201,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727113,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132825,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132825
SRR3440712,Bisulfite-Seq,150,4605055050,PRJNA319643,SAMN04902275,2074592754,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727114,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,GSM2132826,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132826
SRR3440713,Bisulfite-Seq,150,2061070950,PRJNA319643,SAMN04902276,874760360,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727115,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,GSM2132827,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132827
SRR3440714,Bisulfite-Seq,150,2817796800,PRJNA319643,SAMN04902276,1199879573,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727115,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,GSM2132827,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132827
SRR3440715,Bisulfite-Seq,150,1874221200,PRJNA319643,SAMN04902277,804119722,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727116,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,GSM2132828,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132828
SRR3440716,Bisulfite-Seq,150,1538281350,PRJNA319643,SAMN04902278,662613581,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727117,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,GSM2132829,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132829
SRR3440717,Bisulfite-Seq,150,1687368450,PRJNA319643,SAMN04902278,695534941,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727117,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,GSM2132829,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132829
SRR3440718,Bisulfite-Seq,150,1786249500,PRJNA319643,SAMN04902279,723352766,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727118,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,GSM2132830,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132830
SRR3440719,Bisulfite-Seq,150,3101899650,PRJNA319643,SAMN04902279,1401658395,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727118,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132830,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132830
SRR3440720,Bisulfite-Seq,150,3391923000,PRJNA319643,SAMN04902280,1459112155,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727119,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132831,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132831
SRR3440721,Bisulfite-Seq,150,2941244100,PRJNA319643,SAMN04902281,1292864673,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727120,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:43:00Z,1,GSM2132832,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132832
SRR3440722,Bisulfite-Seq,150,4522254450,PRJNA319643,SAMN04902281,2170490203,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727120,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,GSM2132832,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132832
SRR3440723,Bisulfite-Seq,150,5740859400,PRJNA319643,SAMN04902282,2460174001,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727121,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:51:00Z,1,GSM2132833,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132833
SRR3440724,Bisulfite-Seq,150,2763430350,PRJNA319643,SAMN04902283,1255919041,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727122,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,GSM2132834,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132834
SRR3440725,Bisulfite-Seq,150,3813455700,PRJNA319643,SAMN04902283,1878516217,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727122,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,GSM2132834,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132834
SRR3440726,Bisulfite-Seq,150,4513704750,PRJNA319643,SAMN04902284,2196527972,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727123,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,GSM2132835,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132835
SRR3440727,Bisulfite-Seq,150,4218767100,PRJNA319643,SAMN04902285,1839100919,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727124,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,GSM2132836,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132836
SRR3440728,Bisulfite-Seq,150,2044910850,PRJNA319643,SAMN04902286,882222735,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727125,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,GSM2132837,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132837
SRR3440729,Bisulfite-Seq,150,2013625650,PRJNA319643,SAMN04902286,822490499,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727125,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,GSM2132837,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132837
SRR3440730,Bisulfite-Seq,150,4534818000,PRJNA319643,SAMN04902287,2064865574,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727126,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,GSM2132838,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132838
SRR3440731,Bisulfite-Seq,150,2949583500,PRJNA319643,SAMN04902288,1228806921,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727127,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132839,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132839
SRR3440732,Bisulfite-Seq,150,3483249000,PRJNA319643,SAMN04902288,1482947189,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727127,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132839,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132839
SRR3440733,Bisulfite-Seq,150,3112351500,PRJNA319643,SAMN04902289,1334887714,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727128,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,GSM2132840,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132840
SRR3440734,Bisulfite-Seq,150,3495794400,PRJNA319643,SAMN04902290,1558019676,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727129,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,GSM2132841,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132841
