geo_accession,sample name,run,assay type,avgspotlen,bases,bioproject,biosample,bytes,center name,consent,datastore filetype,datastore provider,datastore region,diet,experiment,gender,genetic_condition,instrument,librarylayout,libraryselection,librarysource,organism,platform,releasedate,create_date,version,source_name,sra study,strain,tissue,geo_accession (exp),strain/condition,age,sex,aligned pe reads,prepared for sequencing ,used in subset 1/2,age_days
GSM2132722,35D06,SRR3440575,Bisulfite-Seq,150,4637005200,PRJNA319643,SAMN04902261,2300927381,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727010,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:41:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132722,C57BL/6_NIA/BWH,1.17,Male,20906407,D.A. Petkovich,,35.099999999999994
GSM2132723,35D07,SRR3440576,Bisulfite-Seq,150,5819148900,PRJNA319643,SAMN04902262,2919057110,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727011,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132723,C57BL/6_NIA/BWH,1.17,Male,26605147,D.A. Petkovich,,35.099999999999994
GSM2132744,B6D2F1_2001,SRR3440607,Bisulfite-Seq,150,2071632450,PRJNA319643,SAMN04902074,919057470,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727032,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:37:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132744,B6D2F1,20,Male,23159221,D.A. Petkovich,,600.0
GSM2132744,B6D2F1_2001,SRR3440608,Bisulfite-Seq,150,3012963750,PRJNA319643,SAMN04902074,1294302867,GEO,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727032,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132744,B6D2F1,20,Male,23159221,D.A. Petkovich,,600.0
GSM2132745,B6D2F1_2002,SRR3440609,Bisulfite-Seq,150,1380254400,PRJNA319643,SAMN04902075,606270601,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727033,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:35:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132745,B6D2F1,20,Male,16062509,D.A. Petkovich,,600.0
GSM2132745,B6D2F1_2002,SRR3440610,Bisulfite-Seq,150,2259312900,PRJNA319643,SAMN04902075,898077925,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727033,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132745,B6D2F1,20,Male,16062509,D.A. Petkovich,,600.0
GSM2132746,B6D2F1_2003,SRR3440611,Bisulfite-Seq,150,1710210000,PRJNA319643,SAMN04902076,755330407,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727034,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:35:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132746,B6D2F1,20,Male,7628917,D.A. Petkovich,,600.0
GSM2132747,B6D2F1_2004,SRR3440612,Bisulfite-Seq,150,2054574750,PRJNA319643,SAMN04902077,907474216,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727035,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:43:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132747,B6D2F1,20,Male,9058878,D.A. Petkovich,,600.0
GSM2132748,B6D2F1_2005,SRR3440613,Bisulfite-Seq,150,1899340650,PRJNA319643,SAMN04902078,844981151,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727036,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132748,B6D2F1,20,Male,20245952,D.A. Petkovich,,600.0
GSM2132748,B6D2F1_2005,SRR3440614,Bisulfite-Seq,150,2655648450,PRJNA319643,SAMN04902078,1062634959,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727036,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:39:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132748,B6D2F1,20,Male,20245952,D.A. Petkovich,,600.0
GSM2132749,B6D2F1_2701,SRR3440615,Bisulfite-Seq,150,1670487150,PRJNA319643,SAMN04902079,736813627,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727037,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132749,B6D2F1,27,Male,7442100,D.A. Petkovich,,810.0
GSM2132750,B6D2F1_2702,SRR3440616,Bisulfite-Seq,150,2103353550,PRJNA319643,SAMN04902080,928463701,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727038,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132750,B6D2F1,27,Male,9401159,D.A. Petkovich,,810.0
GSM2132751,B6D2F1_2703,SRR3440617,Bisulfite-Seq,150,692146650,PRJNA319643,SAMN04902081,334663686,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727039,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:33:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132751,B6D2F1,27,Male,10432687,D.A. Petkovich,,810.0
GSM2132751,B6D2F1_2703,SRR3440618,Bisulfite-Seq,150,1632621150,PRJNA319643,SAMN04902081,675252482,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727039,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:36:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132751,B6D2F1,27,Male,10432687,D.A. Petkovich,,810.0
GSM2132752,B6D2F1_2704,SRR3440619,Bisulfite-Seq,150,2197684500,PRJNA319643,SAMN04902082,970747722,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727040,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:37:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132752,B6D2F1,27,Male,9759104,D.A. Petkovich,,810.0
GSM2132753,B6D2F1_2705,SRR3440620,Bisulfite-Seq,150,1651432350,PRJNA319643,SAMN04902083,729249078,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727041,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:35:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132753,B6D2F1,27,Male,18412841,D.A. Petkovich,,810.0
GSM2132753,B6D2F1_2705,SRR3440621,Bisulfite-Seq,150,2470204050,PRJNA319643,SAMN04902083,990255538,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727041,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:38:00Z,1,Whole Blood,SRP073930,B6D2F1,whole blood,GSM2132753,B6D2F1,27,Male,18412841,D.A. Petkovich,,810.0
GSM2132820,M0301,SRR3440706,Bisulfite-Seq,150,3941972850,PRJNA319643,SAMN04902273,1725835293,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727108,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:46:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132820,C57BL/6,3,Male,15740457,D.A. Petkovich,2.0,90.0
GSM2132821,M0302,SRR3440707,Bisulfite-Seq,150,3268223100,PRJNA319643,SAMN04902274,1437292720,GEO,public,"sra,run.zq,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",standard,SRX1727109,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132821,C57BL/6,3,Male,14858572,D.A. Petkovich,1.0,90.0
GSM2132822,M0303,SRR3440708,Bisulfite-Seq,150,3277796250,PRJNA319643,SAMN04902150,1428194670,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727110,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132822,C57BL/6,3,Male,14769955,D.A. Petkovich,2.0,90.0
GSM2132823,M0304,SRR3440709,Bisulfite-Seq,150,3418183500,PRJNA319643,SAMN04902270,1544526609,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727111,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132823,C57BL/6,3,Male,15364301,D.A. Petkovich,1.0,90.0
GSM2132824,M0305,SRR3440710,Bisulfite-Seq,150,2813350050,PRJNA319643,SAMN04902271,1208030830,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727112,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:42:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132824,C57BL/6,3,Male,12589315,D.A. Petkovich,1.0,90.0
GSM2132825,M0306,SRR3440711,Bisulfite-Seq,150,3224509800,PRJNA319643,SAMN04902272,1434746201,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727113,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132825,C57BL/6,3,Male,14682012,D.A. Petkovich,1.0,90.0
GSM2132826,M0308,SRR3440712,Bisulfite-Seq,150,4605055050,PRJNA319643,SAMN04902275,2074592754,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727114,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132826,C57BL/6,3,Male,28073110,D.A. Petkovich,1.0,90.0
GSM2132827,M0309,SRR3440713,Bisulfite-Seq,150,2061070950,PRJNA319643,SAMN04902276,874760360,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727115,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132827,C57BL/6,3,Male,21972304,D.A. Petkovich,1.0,90.0
GSM2132827,M0309,SRR3440714,Bisulfite-Seq,150,2817796800,PRJNA319643,SAMN04902276,1199879573,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727115,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132827,C57BL/6,3,Male,21972304,D.A. Petkovich,1.0,90.0
GSM2132828,M0310,SRR3440715,Bisulfite-Seq,150,1874221200,PRJNA319643,SAMN04902277,804119722,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727116,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132828,C57BL/6,3,Male,8368054,D.A. Petkovich,1.0,90.0
GSM2132829,M0401,SRR3440716,Bisulfite-Seq,150,1538281350,PRJNA319643,SAMN04902278,662613581,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727117,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132829,C57BL/6,4,Male,18016433,D.A. Petkovich,1.0,120.0
GSM2132829,M0401,SRR3440717,Bisulfite-Seq,150,1687368450,PRJNA319643,SAMN04902278,695534941,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727117,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132829,C57BL/6,4,Male,18016433,D.A. Petkovich,1.0,120.0
GSM2132830,M0402,SRR3440718,Bisulfite-Seq,150,1786249500,PRJNA319643,SAMN04902279,723352766,GEO,public,"run.zq,sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727118,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:40:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132830,C57BL/6,4,Male,20935031,D.A. Petkovich,1.0,120.0
GSM2132830,M0402,SRR3440719,Bisulfite-Seq,150,3101899650,PRJNA319643,SAMN04902279,1401658395,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727118,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132830,C57BL/6,4,Male,20935031,D.A. Petkovich,1.0,120.0
GSM2132831,M0403,SRR3440720,Bisulfite-Seq,150,3391923000,PRJNA319643,SAMN04902280,1459112155,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727119,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:45:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132831,C57BL/6,4,Male,15322963,D.A. Petkovich,2.0,120.0
GSM2132832,M0404,SRR3440721,Bisulfite-Seq,150,2941244100,PRJNA319643,SAMN04902281,1292864673,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727120,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:43:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132832,C57BL/6,4,Male,33719411,D.A. Petkovich,2.0,120.0
GSM2132832,M0404,SRR3440722,Bisulfite-Seq,150,4522254450,PRJNA319643,SAMN04902281,2170490203,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727120,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132832,C57BL/6,4,Male,33719411,D.A. Petkovich,2.0,120.0
GSM2132833,M0405,SRR3440723,Bisulfite-Seq,150,5740859400,PRJNA319643,SAMN04902282,2460174001,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",standard,SRX1727121,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:51:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132833,C57BL/6,4,Male,26004267,D.A. Petkovich,2.0,120.0
GSM2132834,M0406,SRR3440724,Bisulfite-Seq,150,2763430350,PRJNA319643,SAMN04902283,1255919041,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",standard,SRX1727122,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:44:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132834,C57BL/6,4,Male,29683958,D.A. Petkovich,2.0,120.0
GSM2132834,M0406,SRR3440725,Bisulfite-Seq,150,3813455700,PRJNA319643,SAMN04902283,1878516217,GEO,public,"run.zq,fastq,sra","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",standard,SRX1727122,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132834,C57BL/6,4,Male,29683958,D.A. Petkovich,2.0,120.0
GSM2132835,M0407,SRR3440726,Bisulfite-Seq,150,4513704750,PRJNA319643,SAMN04902284,2196527972,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",standard,SRX1727123,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:48:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132835,C57BL/6,4,Male,20661969,D.A. Petkovich,1.0,120.0
GSM2132836,M0409,SRR3440727,Bisulfite-Seq,150,4218767100,PRJNA319643,SAMN04902285,1839100919,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",standard,SRX1727124,male,Wild Type,Illumina HiSeq 2500,PAIRED,Reduced Representation,GENOMIC,Mus musculus,ILLUMINA,2017-04-05T00:00:00Z,2016-04-26T12:47:00Z,1,Whole Blood,SRP073930,C57BL/6,whole blood,GSM2132836,C57BL/6,4,Male,18729190,D.A. Petkovich,2.0,120.0
